ranking;cliente_id;sinalizacoes_regra_1;sinalizacoes_regra_2;total_sinalizacoes;volume_total_brl;nivel_risco_modelo_original;nivel_risco_modelo;tipologia_suspeita;justificativa_modelo;quantidade_tools;nivel_risco_regras;concorda;avaliacao_divergencia;analise_divergencia
1;CLI-029;4;0;4;191385,77;Médio;medio;Fracionamento de transações;O cliente CLI-029 apresenta um padrão de fracionamento de transações, o que pode indicar tentativas de evitar limites de detecção. Apesar disso, não há sinais de valor atípico ou atividade suspeita em datas específicas.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
2;CLI-017;4;0;4;121391,37;Médio;medio;Fracionamento de transações;O cliente CLI-017 apresenta um padrão de fracionamento de transações, o que pode indicar tentativas de evitar limites de detecção. A quantidade de transações (13) e o volume total (R$ 121.391,37) sugerem atividade contínua, mas a ausência de valores atípicos e a data de sinalização específica (2026-03-08) não indicam outros riscos imediatos.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
3;CLI-002;4;0;4;107965,38;Médio;medio;Fracionamento de transações;O cliente CLI-002 apresenta um padrão de fracionamento de transações, o que pode indicar atividades suspeitas. A quantidade de transações (14) e o volume total (R$ 107.965,38) são consistentes com o comportamento de um cliente comum, mas a prática de fracionamento pode ser um sinal de alerta para atividades ilegais, como lavagem de dinheiro.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
4;CLI-003;4;0;4;102241,09;Médio;medio;Fracionamento de transações;O cliente CLI-003 apresenta um padrão de fracionamento de transações, o que pode indicar tentativas de evitar limites de detecção. A quantidade de transações (14) e o volume total (R$ 102.241,09) sugerem atividade contínua, mas a data de sinalização (2026-05-02) indica que há uma atividade específica que merece atenção.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
5;CLI-014;0;3;3;80629,99;alto;alto;transacoes com valor atipico;O cliente CLI-014 possui 11 transacoes com um volume total de R$80.629,99, sendo que algumas dessas transacoes ocorreram em datas com sinalizacao, como 2026-03-05, 2026-03-06 e 2026-03-24. O valor atipico foi identificado como uma flag deterministica, o que sugere atividade suspeita que pode estar relacionada a lavagem de dinheiro ou outras atividades ilegais.;0;medio;False;regra_mais_consistente;O parecer elevou o risco sem apresentar uma segunda tipologia ou evidencia independente. Como apenas uma regra esta ativa, o nivel medio e mais coerente com o criterio definido. A ausencia de chamadas de tools nao e, por si so, um erro: o agente deve consulta-las apenas quando necessario.
6;CLI-023;0;2;2;148535,02;Moderado;medio;Possível lavagem de dinheiro por meio de transações com valores atípicos;O cliente CLI-023 possui 12 transações com volume total de R$148.535,02, sendo que algumas das transações estão associadas a datas com sinalização. A flag 'valor_atipico' indica que há transações com valores que se destacam em relação ao padrão do cliente, o que pode sugerir atividades suspeitas.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
7;CLI-028;0;2;2;88750,8;Moderado;medio;Operações com valor atípico;O cliente CLI-028 possui 12 transações com volume total de R$88.750,80. A análise revela que há uma transação com valor atípico, o que pode indicar atividades suspeitas. A data 2026-03-21 foi sinalizada, sugerindo que essa data pode estar associada a alguma operação relevante ou suspeita.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
8;CLI-013;0;2;2;81730,99;Moderado;medio;Possível lavagem de dinheiro por meio de transações com valor atípico;O cliente CLI-013 possui uma quantidade de transações de 10 e um volume total de R$81.730,99. A flag 'valor_atípico' está ativada, indicando que há transações com valores que se destacam em relação ao padrão do cliente. A data '2026-03-06' está associada a sinalizações, o que pode indicar atividades suspeitas. Apesar disso, não há evidências de fracionamento, o que reduz o risco.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
9;CLI-005;0;2;2;64742,66;Moderado;medio;Possível lavagem de dinheiro por meio de transações com valores atípicos;O cliente CLI-005 possui 11 transações com volume total de R$64.742,66, sendo que algumas datas estão marcadas como suspeitas (2026-03-14 e 2026-04-12). A flag 'valor_atipico' indica que há transações com valores que se destacam em relação ao padrão do cliente, o que pode sugerir atividades suspeitas, como lavagem de dinheiro.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
10;CLI-026;0;2;2;54729,28;Moderado;medio;Operações com valor atípico;O cliente CLI-026 possui 12 transações com um volume total de R$54.729,28. Apesar de não haver fracionamento, há uma flag de valor atípico, o que pode indicar atividades suspeitas. As datas com sinalização (2026-03-01 e 2026-05-17) merecem atenção adicional para análise de padrões.;0;medio;True;concordancia;O agente e o criterio deterministico atribuiram o mesmo nivel de risco.
